network,station,lat,lon,dist,tP,tS
GE,PVLZ,35.173,-4.301,85.20160251954222,756.6062944383938,1387.198598605065
GE,RGN,54.547699,13.3214,65.23690462845126,641.6758277302831,1165.8131258436679
GE,RUE,52.475899,13.78,65.67337083538642,644.5033403275996,1171.158470093598
GE,SANT,36.370998,25.459,63.28093140105377,628.8340893283223,1141.5910581012026
GE,SFJD,66.996002,-50.621498,80.04058275948923,729.7722655017672,1334.6442223042388
GE,SFS,36.465599,-6.2055,85.71008103746591,759.1366638719451,1392.1892715327717
GE,SIVA,35.017502,24.809999,64.25172535233423,635.2424274733312,1153.6674158014046
GE,SLIT,57.6287,22.290501,59.60719986955593,603.9654139352123,1094.9280285266354
GE,SMRI,-7.04915,110.440666,38.641568693435744,443.40206738060385,800.7286075252066
GE,SOEI,-9.7553,124.267197,45.40469355980713,498.61509819899993,900.5744711677366
GE,STU,48.7719,9.195,69.76125421182078,670.3124117102284,1220.1565395760954
GE,SUMG,72.5763,-38.4539,73.16873510015242,690.8920756199766,1259.5101483248145
GE,SUW,54.012501,23.180799,59.847371040127385,605.6211433929942,1098.0249464790759
GE,TIRR,44.458099,28.4128,58.72090008066904,597.8186185133943,1083.4433322664563
GE,TNTI,0.7718,127.366699,37.802308233978245,436.33733582895604,788.0486286115605
GE,UGM,-7.9125,110.5231,39.50640091903635,450.6352235861197,813.7334501744925
GE,VAL,51.9394,-10.2442,78.83784325797932,723.2238777518598,1321.911165580911
GE,VSU,58.462002,26.734699,57.15478573195971,586.8181159114182,1062.9363334890763
GE,WLF,49.6646,6.1526,71.17941678606782,678.9811710456379,1236.7013762236083
GE,ZKR,35.1147,26.216999,63.14060818995998,627.9021220806501,1139.8365692134405
II,ABKT,37.9304,58.1189,37.59735331704244,434.6054723213423,784.9427365701371
II,ABPO,-19.018,47.229,73.54163100388197,693.0922101480418,1263.733698256614
II,ALE,82.5033,-62.35,66.28153114679334,648.4199687875175,1178.569892914217
II,ARU,56.4302,58.5625,40.072109132514335,455.33913520714276,822.2042673232546
II,BFO,48.3301,8.3296,70.466288490583,674.6407423672792,1228.4105968151575
II,BORG,64.7474,-21.3268,75.07784601592479,702.047928670664,1280.9585670208426
II,BRVK,53.0581,70.2828,32.5291547115039,390.98628912093085,707.1072296099147
II,COCO,-12.1901,96.8349,43.64808596969224,484.5772133358526,875.0623244776673
II,DGAR,-7.4121,72.4525,48.50500482022511,522.8558315616447,944.8392797149661
II,ERM,42.015,143.1572,33.455617959743044,399.0646099796832,721.4713592069135
II,ESK,55.3167,-3.205,73.49302298350176,692.8059956003327,1263.1840675459853
II,KAPI,-5.0142,119.7517,39.25540342186849,448.54116021629295,809.9658073348518
II,KDAK,57.7828,-152.5835,71.03092986724567,678.0806117434565,1234.9799733849777
II,KIV,43.9553,42.6863,48.75078739115443,524.748202457059,948.3056150029415
II,KWAJ,8.8019,167.613,63.428789288842424,629.8145772498112,1143.437347983591
II,LVZ,67.8979,34.6514,53.55221830232194,560.8385380864079,1014.7353524779259
